eta_fit
8.248618654804228730e-04
8.248618654804228730e-04
8.248618654804228730e-04
8.248618654804228730e-04
8.248618654804109468e-04
8.248618654679396945e-04
8.248618646812585359e-04
8.248618546717516407e-04
8.248618017318322653e-04
8.248616191209606372e-04
8.248611229954699040e-04
8.248600281022722049e-04
8.248579464205327847e-04
8.248544561590085431e-04
8.248491813364033616e-04
8.248417293763583413e-04
8.248317674578066602e-04
8.248189775177423725e-04
8.248030262449648981e-04
8.247835687400367766e-04
8.247601856590164923e-04
8.247323653249168064e-04
8.246994537737397475e-04
8.246610842948518851e-04
8.246162437827455303e-04
8.245643665149253584e-04
8.245043164193380974e-04
8.244346278171662840e-04
