9.978360075383018168e-01,1.081388008124676951e-27,1.171936084969322309e-54,1.270066041914934365e-81,1.376412734033857010e-108,1.491664174844103558e-135,1.616565987436117398e-162,1.751926228307202141e-189,1.898620615109278750e-216,2.057598192134513400e-243,2.229887470189265938e-270,2.416603080579229847e-297,4.940656458412465442e-324,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.969443104496238384e-01,1.139493280373915436e-24,1.302424741690642005e-48,1.488653103080426386e-72,1.701509492544168566e-96,1.944801342386011305e-120,2.222880494008258847e-144,2.540721040731189395e-168,2.904008301037600715e-192,3.319240513735540880e-216,3.793845074095089594e-240,4.336311390112886919e-264,4.956342735346883311e-288,5.665029814564742936e-312,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.959624907795509019e-01,5.968514898534457293e-23,3.576758203629247953e-45,2.143447652341514322e-67,1.284506130066780212e-89,7.697673401898862414e-112,4.612992839451499767e-134,2.764433072931276714e-156,1.656644716497001276e-178,9.927792224636769725e-201,5.949438493002110574e-223,3.565326266012405387e-245,2.136596823056554072e-267,1.280400626392489564e-289,7.673070306830942338e-312,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.945273102417219180e-01,3.005234026270761677e-19,9.081129758478391213e-38,2.744109675633277125e-56,8.292071704926641604e-75,2.505674382120832206e-93,7.571574791720857484e-112,2.287956696835600263e-130,6.913681751276708446e-149,2.089156469789970760e-167,6.312952942127485810e-186,1.907629965768930552e-204,5.764421372469788790e-223,1.741876273473007560e-241,5.263551631701854612e-260,1.590524895568627230e-278,4.806202390391765480e-297,1.452324419302216387e-315,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.915826840867690839e-01,2.117168021171525726e-13,4.520450489713391593e-26,9.651795429369132046e-39,2.060793613874958578e-51,4.400083228106087854e-64,9.394794453897411234e-77,2.005920303216104036e-89,4.282921018229667218e-102,9.144636713125574344e-115,1.952508119087557351e-127,4.168878518302358465e-140,8.901139990385121390e-153,1.900518155676702088e-165,4.057872658960721227e-178,8.664126920944284856e-191,1.849912543126690441e-203,3.949822582752144867e-216,8.433424862805135911e-229,1.800654419951672198e-241,3.844649585237446016e-254,8.208865770958524763e-267,1.752707906186274742e-279,3.742277057661241400e-292,7.990286074973462920e-305,1.706038319028574792e-317,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.891718488113434571e-01,6.069207169286148075e-10,3.723849976925461674e-19,2.284822096833891664e-28,1.401885695322947926e-37,8.601472760064947166e-47,5.277558212411345745e-56,3.238122291650544565e-65,1.986796839308280190e-74,1.219027981390200310e-83,7.479522767560069198e-93,4.589169542002441139e-102,2.815751450959715504e-111,1.727645091561045469e-120,1.060021672501515981e-129,6.503916525804986951e-139,3.990572199793991122e-148,2.448473380398692121e-157,1.502296310997913101e-166,9.217556637966442410e-176,5.655565400256252941e-185,3.470054077544414660e-194,2.129101946294832849e-203,1.306341341205920753e-212,8.015246534875732349e-222,4.917870619905446804e-231,3.017430758853137635e-240,1.851388352434759673e-249,1.135946142748766432e-258,6.969762111385100210e-268,4.276398507041108165e-277,2.623846251674882895e-286
9.874846643756517439e-01,4.573117723134527271e-08,2.117846126032738237e-15,9.807908925811689649e-23,4.542118349136834807e-30,2.103490076592273136e-37,9.741424952440858179e-45,4.511329107754695037e-52,2.089231341188432881e-59,9.675391647887335457e-67,4.480748574581373395e-74,2.075069260167505556e-81,9.609805957243502277e-89,4.450375334865597332e-96,2.061003178347342697e-103,9.544664846310384429e-111,4.420207983446270954e-118,2.047032444986784109e-125,9.479965301455693585e-133,4.390245124687266855e-140,2.033156413756256349e-147,9.415704329476199041e-155,4.360485372412927658e-162,2.019374442706819896e-169,9.351878957458138381e-177,4.330927349844187814e-184,2.005685894241461441e-191,9.288486232640512243e-199,4.301569689533887550e-206,1.992090135085072037e-213,9.225523222276328521e-221,4.272411033304994041e-228
9.863812980420815224e-01,7.323861252114902910e-07,5.437952214493598710e-13,4.037668556128967733e-19,2.997960762821989805e-25,2.225979822384690043e-31,1.652785530454883584e-37,1.227189924280014957e-43,9.111860447131843461e-50,6.765538012114673911e-56,5.023398334395817137e-62,3.729863135913784663e-68,2.769415858860383783e-74,2.056285691949019238e-80,1.526787980716701809e-86,1.133636997615591210e-92,8.417231852713373169e-99,6.249777681158326939e-105,4.640447328454497648e-111,3.445522786047238478e-117,2.558293722326241843e-123,1.899527931203109850e-129,1.410395659392874709e-135,1.047215933684295136e-141,7.775557195307031917e-148,5.773335541676789258e-154,4.286690000415910102e-160,3.182858683167723065e-166,2.363266155479698237e-172,1.754720356003053022e-178,1.302876326744857603e-184,9.673830459564274545e-191
9.855652444272589019e-01,5.496760220283838781e-06,3.065689774486041169e-11,1.709816949756435104e-16,9.536105140203065547e-22,5.318540166417312182e-27,2.966291697282118488e-32,1.654379991134336246e-37,9.226918436825932395e-43,5.146098495876118725e-48,2.870116378569399184e-53,1.600740450874305606e-58,8.927756415028745521e-64,4.979247857612243583e-69,2.777059327671586441e-74,1.548840051739464149e-79,8.638294047119466289e-85,4.817806975013049470e-90,2.687019441787247131e-95,1.498622406000954699e-100,8.358216843695029177e-106,4.661600448951302428e-111,2.599898896144967392e-116,1.450032954174883675e-121,8.087220511961716950e-127,4.510458567220515669e-132,2.515603037721162680e-137,1.403018905745454936e-142,7.825010625135698595e-148,4.364217120150160553e-153,2.434040282402998272e-158,1.357529181810418432e-163
9.848974222235519216e-01,2.490604608028251888e-05,6.298230834564595671e-10,1.592694059811611802e-14,4.027598280834618097e-19,1.018497420257900025e-23,2.575572146825479900e-28,6.513096402172063659e-33,1.647029177430419162e-37,4.165000705966053989e-42,1.053243689814981171e-46,2.663438372401808290e-51,6.735292157153724840e-56,1.703217949860393901e-60,4.307090645868103069e-65,1.089175336206713559e-69,2.754302174111481007e-74,6.965068170507739930e-79,1.761323614954111592e-83,4.454028016166255862e-88,1.126332798831595149e-92,2.848265814941440175e-97,7.202683044460461659e-102,1.821411567937745417e-106,4.605978188043192546e-111,1.164757896687267174e-115,2.945435046603446867e-120,7.448404203512528142e-125,1.883549435010481549e-129,4.763112174357359775e-134,1.204493875436035534e-138,3.045919228552837853e-143
